"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,0.0327869344367903,38,5004,21,0.00419664268585132,0.552631578947368,"GO:0106290","GO:MF","trans-cinnamate-CoA ligase activity",18049,8950
"query_1",TRUE,0.0327869344367903,505,5004,175,0.0349720223820943,0.346534653465347,"GO:0022804","GO:MF","active transmembrane transporter activity",18049,3490
"query_1",TRUE,0.0337132331137001,243,5004,92,0.0183852917665867,0.378600823045267,"GO:0016614","GO:MF","oxidoreductase activity, acting on CH-OH group of donors",18049,2761
"query_1",TRUE,0.037974696537431,22,5004,14,0.00279776179056755,0.636363636363636,"GO:0016168","GO:MF","chlorophyll binding",18049,2640
"query_1",TRUE,0.037974696537431,408,5004,144,0.0287769784172662,0.352941176470588,"GO:0004553","GO:MF","hydrolase activity, hydrolyzing O-glycosyl compounds",18049,842
"query_1",TRUE,0.037974696537431,6,5004,6,0.00119904076738609,1,"GO:0120546","GO:MF","oxidoreductase activity, reducing C-O-C group as acceptor",18049,9122
"query_1",TRUE,0.0485619191454671,42,5004,22,0.004396482813749,0.523809523809524,"GO:0016405","GO:MF","CoA-ligase activity",18049,2694
"query_1",TRUE,2.0743390405519e-26,1795,1090,660,0.605504587155963,0.367688022284123,"KEGG:01100","KEGG","Metabolic pathways",3869,184
"query_1",TRUE,8.95471628106363e-22,1089,1090,435,0.399082568807339,0.399449035812672,"KEGG:01110","KEGG","Biosynthesis of secondary metabolites",3869,185
"query_1",TRUE,4.96321536625559e-09,229,1090,109,0.1,0.475982532751092,"KEGG:01200","KEGG","Carbon metabolism",3869,187
"query_1",TRUE,1.00354170307974e-07,69,1090,43,0.0394495412844037,0.623188405797101,"KEGG:00710","KEGG","Carbon fixation by Calvin cycle",3869,118
"query_1",TRUE,3.07722074760886e-07,62,1090,39,0.0357798165137615,0.629032258064516,"KEGG:00630","KEGG","Glyoxylate and dicarboxylate metabolism",3869,109
"query_1",TRUE,5.38770705989687e-06,15,1090,14,0.0128440366972477,0.933333333333333,"KEGG:00196","KEGG","Photosynthesis - antenna proteins",3869,21
"query_1",TRUE,0.000224278775184612,185,1090,79,0.0724770642201835,0.427027027027027,"KEGG:01230","KEGG","Biosynthesis of amino acids",3869,191
"query_1",TRUE,0.000627253232274064,86,1090,42,0.0385321100917431,0.488372093023256,"KEGG:00620","KEGG","Pyruvate metabolism",3869,101
"query_1",TRUE,0.0010328738964001,30,1090,19,0.0174311926605505,0.633333333333333,"KEGG:00904","KEGG","Diterpenoid biosynthesis",3869,135
"query_1",TRUE,0.00147877524736896,24,1090,16,0.0146788990825688,0.666666666666667,"KEGG:00910","KEGG","Nitrogen metabolism",3869,141
"query_1",TRUE,0.00216640267217934,51,1090,27,0.0247706422018349,0.529411764705882,"KEGG:00195","KEGG","Photosynthesis",3869,20
"query_1",TRUE,0.00218346053364877,34,1090,20,0.018348623853211,0.588235294117647,"KEGG:00906","KEGG","Carotenoid biosynthesis",3869,137
"query_1",TRUE,0.00360150942342458,93,1090,42,0.0385321100917431,0.451612903225806,"KEGG:00270","KEGG","Cysteine and methionine metabolism",3869,31
"query_1",TRUE,0.00401001760173208,43,1090,23,0.0211009174311927,0.534883720930233,"KEGG:00900","KEGG","Terpenoid backbone biosynthesis",3869,131
"query_1",TRUE,0.00401001760173208,43,1090,23,0.0211009174311927,0.534883720930233,"KEGG:00380","KEGG","Tryptophan metabolism",3869,49
"query_1",TRUE,0.00966759117726295,302,1090,109,0.1,0.360927152317881,"KEGG:04075","KEGG","Plant hormone signal transduction",3869,269
"query_1",TRUE,0.00966759117726295,121,1090,50,0.0458715596330275,0.413223140495868,"KEGG:00010","KEGG","Glycolysis / Gluconeogenesis",3869,2
"query_1",TRUE,0.00966759117726295,127,1090,52,0.0477064220183486,0.409448818897638,"KEGG:00500","KEGG","Starch and sucrose metabolism",3869,63
