"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os01g0281100",820.268483112027,-5.38809765228745,0.207260696241795,-25.9967169366331,5.39405420475522e-149,2.62055845159255e-146
"Os01g0235100",2114.20301934417,-4.52156790002508,0.175430275274019,-25.7741595227077,1.7282520954856e-146,8.23478887881669e-144
"Os01g0179600",4856.42451302575,-6.79467974936011,0.263808127591503,-25.7561425851194,2.75114407172428e-146,1.28613389934175e-143
"Os12g0626400",1468.73728228976,-5.23090840405965,0.203554756602446,-25.6977949882837,1.23713684580776e-145,5.67639622751459e-143
"Os01g0323100",707.881932675361,-8.07728933458983,0.314431291298171,-25.6885671309674,1.56870556626509e-145,7.06687596642731e-143
"Os01g0332800",5324.62268611179,-5.09879594867483,0.199265764961188,-25.5879174712623,2.07935964257054e-144,9.20005247570897e-142
"Os12g0124000",5644.88275653099,-5.86738138647428,0.229575827166878,-25.5574877324053,4.53314955187126e-144,1.97048853415288e-141
"Os01g0901900",3068.10769173595,3.52297065795863,0.138118525666825,25.5068655051885,1.65417792580476e-143,7.06647697718355e-141
"Os04g0644600",6370.42042961537,-5.82550324734596,0.228598955118063,-25.4835077629174,3.00334758370587e-143,1.26125327256746e-140
"Os09g0511600",1602.60424689427,-4.83356742963762,0.190337365643589,-25.3947374615271,2.88308193054139e-142,1.19056868321707e-139
"Os02g0606200",5869.38260934761,-3.46475392170971,0.136753783862804,-25.3357078966507,1.29161427108676e-141,5.24628308110111e-139
"Os07g0656700",3363.80433207416,-4.25435155079596,0.168358442624293,-25.2696062310931,6.89671304004585e-141,2.7561267579551e-138
"Os05g0512200",5132.00637182642,-5.87105225147995,0.233069443972182,-25.1901414077286,5.1370917722702e-140,2.02034480700855e-137
"Os08g0178800",1103.53497252068,-5.93502839905608,0.235953631223808,-25.1533674996786,1.29825642335379e-139,5.02607803147449e-137
"Os01g0844300",946.137548686355,4.92305633494532,0.19589351526185,25.1312879263241,2.26376520547107e-139,8.62912469168566e-137
"Os03g0305600",1318.86156196723,5.45641709189318,0.217186490716683,25.1231882512021,2.77561750199922e-139,1.04199204313689e-136
"Os12g0577600",1233.6207029185,-4.32354290514571,0.173764817527476,-24.881578254252,1.17771555032483e-136,4.35526241647736e-134
"Os01g0667200",1575.38771220016,3.27125945304526,0.131657712595775,24.8466982188041,2.80733864775661e-136,1.02290337758038e-133
"Os05g0365600",652.599635146423,-3.84184090136806,0.155623434331679,-24.6867762420664,1.48326922645721e-134,5.32622632230875e-132
"Os03g0228200",7300.97355189927,-5.41300579706313,0.220128830289037,-24.5901719913546,1.60922530860028e-133,5.69596792445561e-131
"Os03g0843800",538.101697455376,-6.27705513671302,0.255431639696603,-24.5743054547542,2.37840764553183e-133,8.29997270892144e-131
"Os07g0509800",14937.4770084048,-5.28928718018081,0.215526823595195,-24.5412013778629,5.36950937471062e-133,1.84778241357229e-130
"Os03g0286900",2917.83449088438,7.4559436350759,0.304031700601186,24.5235731021886,8.28060827373552e-133,2.81052919449788e-130
"Os11g0216300",8953.45601432909,-3.51467837968016,0.143616842549721,-24.4726058398294,2.89216533512522e-132,9.68367304167534e-130
"Os10g0505900",1738.3101962612,8.93698076416232,0.368184809625753,24.2730838712397,3.77315765500828e-130,1.24650036290854e-127
"Os08g0425200",4329.93112948702,2.80982298973853,0.116359403004369,24.147794825254,7.87574264398687e-129,2.5675957301324e-126
"Os08g0269700",1085.68327526868,-6.16224213175732,0.255487636211513,-24.1195316655391,1.55965258144884e-128,5.01863792344907e-126
"Os03g0310800",4182.52319041775,-4.5026235680654,0.186761752230095,-24.1089169184816,2.01550174350031e-128,6.40231880752656e-126
"Os07g0687900",4958.20928318929,6.23762808407754,0.258917695667593,24.0911617415505,3.09411785783808e-128,9.7041719194499e-126
"Os08g0480200",1175.79695371486,4.34414308155693,0.180579472779912,24.0566827152692,7.10625623296796e-128,2.20089638355309e-125
"Os05g0579600",1218.82211387554,-6.7881821221409,0.282635335276059,-24.0174573908484,1.82737151076921e-127,5.58972641016404e-125
"Os02g0704000",8921.34207350884,-4.83159447756996,0.202018329450918,-23.9166143522825,2.05730173261434e-126,6.21631280841286e-124
"Os01g0720400",1594.29726422102,-5.82195321335589,0.24406355135952,-23.8542509970274,9.14834394699973e-126,2.73094599969653e-123
